


####### t-projections #######

A_I sin(1\phi): -0.206438694964	0.0343357677365  (dstat.)	0.065914  (dsyst.)	0.074320928022 (dtotal) 
A_I sin(2\phi): -0.017530115886	0.034197696442  (dstat.)	0.014183  (dsyst.)	0.0370221545961 (dtotal) 
A_DVCS sin(\phi): 0.0160397990391	0.034422427995  (dstat.)	0.002068  (dsyst.)	0.0344844917763 (dtotal) 

Avg Bin Kinematics:	 t=0.097	 x=0.078	 q=1.86
Acos(0\phi): -0.0297108855057	0.00592982305427  (dstat.)	0.022297  (dsyst.)	0.0230720395816 (dtotal) 
Acos(1\phi): 0.0401812018534	0.00824829000837  (dstat.)	0.021184  (dsyst.)	0.0227331507729 (dtotal) 
Acos(2\phi): -0.0207041192682	0.00825363010415  (dstat.)	0.010482  (dsyst.)	0.0133414667071 (dtotal) 
Acos(3\phi): 0.00650966231619	0.00822966902429  (dstat.)	0.001531  (dsyst.)	0.00837086693535 (dtotal) 
A_I sin(1\phi): -0.271045143288	0.0328710912057  (dstat.)	0.049826  (dsyst.)	0.0596920339162 (dtotal) 
A_I sin(2\phi): -0.0145803700123	0.0325585047355  (dstat.)	0.004175  (dsyst.)	0.0328250949063 (dtotal) 
A_DVCS sin(\phi): 0.0407894935887	0.0330353256401  (dstat.)	0.00353  (dsyst.)	0.0332233899557 (dtotal) 

Avg Bin Kinematics:	 t=0.127	 x=0.107	 q=2.83
Acos(0\phi): -0.0136996138809	0.00680246718998  (dstat.)	0.021051  (dsyst.)	0.0221227973112 (dtotal) 
Acos(1\phi): 0.0424885671229	0.00970721514051  (dstat.)	0.016517  (dsyst.)	0.0191583223374 (dtotal) 
Acos(2\phi): 0.0212857053635	0.00942562088615  (dstat.)	0.017144  (dsyst.)	0.019564229223 (dtotal) 
Acos(3\phi): -0.0142362102093	0.00947514858856  (dstat.)	0.005777  (dsyst.)	0.0110973947292 (dtotal) 
A_I sin(1\phi): -0.239202153085	0.0366951718061  (dstat.)	0.044667  (dsyst.)	0.0578072359042 (dtotal) 
A_I sin(2\phi): 0.0275601833294	0.0370365468388  (dstat.)	0.012966  (dsyst.)	0.0392405779486 (dtotal) 
A_DVCS sin(\phi): 0.0265940290573	0.036821848595  (dstat.)	0.003813  (dsyst.)	0.0370187452915 (dtotal) 

Avg Bin Kinematics:	 t=0.186	 x=0.171	 q=4.91
Acos(0\phi): 0.0131141753841	0.00758407129679  (dstat.)	0.02999  (dsyst.)	0.0309340950641 (dtotal) 
Acos(1\phi): 0.0455732720413	0.0107336543082  (dstat.)	0.019182  (dsyst.)	0.021980911237 (dtotal) 
Acos(2\phi): 0.00460527990754	0.0105458346074  (dstat.)	0.00721  (dsyst.)	0.0127749257362 (dtotal) 
Acos(3\phi): -0.00227559761412	0.0105463650509  (dstat.)	0.003601  (dsyst.)	0.0111441920653 (dtotal) 
A_I sin(1\phi): -0.182390861864	0.0405619910838  (dstat.)	0.013825  (dsyst.)	0.0428533049563 (dtotal) 
A_I sin(2\phi): -0.0380998682583	0.0402860114786  (dstat.)	0.005094  (dsyst.)	0.040606792004 (dtotal) 
A_DVCS sin(\phi): -0.0314833038963	0.0406536682599  (dstat.)	0.008792  (dsyst.)	0.041593509193 (dtotal) 
